No,Lokasi,Kamera
1,A. Yani,A. Yani - Supratman 01
2,A. Yani,A. Yani - Supratman 02
3,A. Yani,A. Yani - Supratman 03
4,A. Yani,A. Yani - Supratman 04
5,Braga,Braga 01
6,Braga,Braga 02
7,Braga,Braga 03
8,Cendana (No Switch),Cendana 01
9,Cendana (No Switch),Cendana 02
10,Cendana (No Switch),Cendana 03
11,Dalem Kaum,Dalem Kaum 01
12,Dalem Kaum,Dalem Kaum 02
13,Husein,Husein 01
14,Husein,Husein 02
15,Husein,Husein 03
16,Husein,Husein 04
17,Jl. Jakarta,Jl. Jakarta 01
18,Jl. Jakarta,Jl. Jakarta 02
19,Jl. Jakarta,Jl. Jakarta 03
20,Jl. Jakarta,Jl. Jakarta 04
21,Cikawao,Karapitan - Cikawao 01
22,Cikawao,Karapitan - Cikawao 02
23,Merdeka Aceh,Merdeka-Aceh 01
24,Merdeka Aceh,Merdeka-Aceh 02
25,Merdeka Aceh,Merdeka-Aceh 03
26,Merdeka Jawa,Merdeka - Jawa 01
27,Merdeka Jawa,Merdeka - Jawa 02
28,BKR,Moch Toha - BKR 01
29,BKR,Moch Toha - BKR 02
30,BKR,Moch Toha - BKR 03
31,BKR,Moch Toha - BKR 04
32,Inhoftank,Moch Toha - Inhoftank 01
33,Inhoftank,Moch Toha - Inhoftank 02
34,Inhoftank,Moch Toha - Inhoftank 03
35,Inhoftank,Moch Toha - Inhoftank 04
36,Peta,Peta - Pasar Burung 01
37,Peta,Peta - Pasar Burung 02
38,Peta,Peta - Pasar Burung 03
39,Peta,Peta - Pasar Burung 04
40,Riau Banda,Riau - Banda 01
41,Riau Banda,Riau - Banda 02
42,Riau Banda,Riau - Banda 03
43,Riau Banda,Riau - Banda 04
44,Gerlong,Setiabudhi - Gerlong 01
45,Gerlong,Setiabudhi - Gerlong 02
46,Gerlong,Setiabudhi - Gerlong 03
47,Buah Batu,Soekarno Hatta - Buah Batu 01
48,Buah Batu,Soekarno Hatta - Buah Batu 02
49,Buah Batu,Soekarno Hatta - Buah Batu 03
50,Buah Batu,Soekarno Hatta - Buah Batu 04
51,Soeta Kircon,Soekarno Hatta - Kiara Condong 01
52,Soeta Kircon,Soekarno Hatta - Kiara Condong 02
53,Soeta Kircon,Soekarno Hatta - Kiara Condong 03
54,Soeta Kircon,Soekarno Hatta - Kiara Condong 04
55,Suniaraja,Suniaraja 01
56,Suniaraja,Suniaraja 02
57,Suniaraja,Suniaraja 03
58,Simpang IP,Simpangan IP 01
59,Simpang IP,Simpangan IP 02
60,Simpang IP,Simpangan IP 03
61,Simpang IP,Simpangan IP 04
62,Alun Alun,Alun Alun 01
63,Alun Alun,Alun Alun 02
64,Alun Alun,Alun Alun 03
65,Kordon,Bubat Kordon 01
66,Kordon,Bubat Kordon 02
67,Ciateul,Ciateul 01
68,Ciateul,Ciateul 02
69,Cicabe,Cicabe 01
70,Cicabe,Cicabe 02
71,Gateway,Cicadas Gateway 01
72,Gateway,Cicadas Gateway 02
73,Cihampelas,Cihamplas 01
74,Cihampelas,Cihamplas 02
