No,Kecamatan,Kelurahan,Nama Perusahaan,Lokasi Menara,Latitude_rev,Longitude_rev,Longitude,Latitude,Tinggi Tower,Struktur Tower,Data IMB
1,Andir,Campaka,PT. Protelindo,Jl. Babakan Cianjur Gg. Sedap Malam II RT 03 RW 07,-6.89375,107.56534,107.56534,-6.89375,18,Monopole,503.645/1374/BPPT
2,Andir,Dungus Cariang,PT. Protelindo, Tbk,Jl. Ciroyom RT 01 RW  02,-6.90861,107.57959,107.57959,-6.90861,12,Pole,-
3,Andir,Ciroyom,PT. Protelindo, Tbk,Jl. Kebonjati No. 254 RT 01 RW  03,-6.91633,107.59197,107.59197,-6.91633,12,Pole,503.645/5793/BPPT
4,Andir,Campaka,PT. Protelindo, Tbk,Jl. Gg. H. Said No. 29 ,-6.89798,107.56268,107.56268,-6.89798,12,Pole,663.10/0011/IMBT/XII/2015/BPPT
5,Andir,Kebon Jeruk,PT. Protelindo, Tbk,King Garden Hotel Jl. Gardu Jati No. 81-83 RT 02/07 ,-6.9174,107.59788,107.59788,-6.9174,6,Pole,-
6,Andir,Kebon Jeruk,PT. Protelindo, Tbk,Jl. Dulatip No. 1B,-6.92027,107.602,107.602,-6.92027,20,3 Kaki,-
7,Andir,Ciroyom,PT. Protelindo, Tbk,Terminal Ciroyom,-6.91424,107.58797,107.58797,-6.91424,26,3 Kaki,503.645/SI-1851-DISTARCIP/I-08
8,Andir,Ciroyom,PT. Protelindo, Tbk,Rajawali Plaza Jl. Rajawali Timur No.  52 RT / RW  05,-6.91585,107.58836,107.58836,-6.91585,30,4 Kaki,503.645-SI-3611 Disbang/04
9,Andir,Dungus Cariang,Daya Mitra Telekomunikasi,Jl. Rajawali Timur,-6.9150906,107.5834171,107.5834171,-6.9150906,6,Pole,IMB -061/BPPT-Pzn/IMB/IX/2012/824
10,Andir,Ciroyom,Daya Mitra Telekomunikasi,Jl. Ciroyom (Pasar Ciroyom),-6.914056,107.587172,107.587172,-6.914056,9,Pole,0
11,Andir,Maleber,Daya Mitra Telekomunikasi,Jl. Garuda No. 108,-6.908318,107.578507,107.578507,-6.908318,12,Pole,IMB - 663.10/0002/IMBT/I/2016/BPPT
12,Andir,Ciroyom,PT. Indosat, Tbk,Kebon Jati 254B,-6.91613,107.591793,107.591793,-6.91613,32,4 Kaki,503.645/S1-3341 Disbang/2003
13,Andir,Kebon Jeruk,PT. Indosat, Tbk,Jl. Gardujati 55-61 (40181),-6.918203,107.597633,107.597633,-6.918203,15,4 Kaki,503.645/S1-2764 Disbang/2001
14,Andir,Kebon Jeruk,PT. Tower Bersama Group,Jl. Dulatif,-6.91665,107.602,107.602,-6.91665,12,Pole,503.645/1137/BPPT
15,Andir,Kebon Jeruk,PT. Tower Bersama Group,Jl. Gardu Jati No. 6 Bandung,-6.91736,107.598,107.598,-6.91736,6,Pole,1831/SIMB/DPB/83
16,Andir,Ciroyom,PT. Tower Bersama Group,Jl. Rajawali Timur No. 11 RT 08/06,-6.91599,107.585,107.585,-6.91599,12,Pole,REKOM DISHUBKOMINFO DAN KRK DONE,  PENGESAHAN IMB
17,Andir,Dungus Cariang,PT. Tower Bersama Group,Jl. Rajawali Timur No. 167 RT 08/10,-6.91511,107.583,107.583,-6.91511,20,4 Kaki,503.645/4092/BPPT
